Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,487.950012,496.000000,483.250000,487.350006,486.557831,8599731
2021-05-04,487.299988,488.299988,477.799988,481.950012,481.166626,8102429
2021-05-05,484.799988,496.000000,483.299988,490.600006,489.802551,11856591
2021-05-06,493.700012,514.799988,487.250000,512.299988,511.467255,24413544
2021-05-07,514.000000,516.549988,507.500000,515.250000,514.412476,14666581
2021-05-10,517.599976,528.500000,513.250000,525.950012,525.095093,12544472
2021-05-11,517.950012,523.299988,514.049988,518.400024,517.557373,7649499
2021-05-12,519.950012,522.549988,504.850006,507.600006,506.774902,7871107
2021-05-14,507.500000,508.399994,492.750000,498.450012,497.639801,6799879
2021-05-17,498.450012,503.700012,495.000000,499.799988,498.987579,5752650
2021-05-18,502.000000,514.799988,500.899994,508.049988,507.224152,9380746
2021-05-19,508.299988,517.799988,505.149994,511.649994,510.818329,7490396
2021-05-20,516.000000,517.000000,503.600006,508.250000,507.423859,6292304
2021-05-21,510.000000,515.900024,509.149994,512.700012,511.866638,5197503
2021-05-24,511.899994,518.500000,509.649994,514.900024,514.063049,7436812
2021-05-25,517.400024,524.849976,515.700012,517.549988,516.708740,7954564
2021-05-26,514.900024,530.450012,514.750000,527.250000,526.392944,8823190
2021-05-27,527.250000,545.000000,525.049988,540.900024,540.020813,29411126
2021-05-28,539.000000,540.299988,532.650024,538.700012,537.824341,5878626
2021-05-31,538.700012,540.549988,531.049988,539.049988,538.173767,5386205
2021-06-01,541.900024,547.000000,539.650024,542.799988,541.917664,5965044
2021-06-02,541.950012,545.000000,533.000000,543.000000,542.117371,4713568
2021-06-03,545.700012,549.900024,538.299988,539.049988,538.173767,5637991
2021-06-04,543.500000,545.500000,540.450012,541.200012,540.320313,4771716
2021-06-07,544.700012,551.200012,542.700012,548.250000,547.358826,4348433
2021-06-08,550.000000,555.500000,549.150024,550.599976,549.705017,5429734
2021-06-09,553.000000,553.250000,542.200012,544.200012,543.315430,6206899
2021-06-10,545.549988,555.500000,545.549988,554.250000,553.349060,5720744
2021-06-11,555.000000,558.950012,551.500000,554.299988,553.398987,5612359
2021-06-14,553.900024,562.799988,553.000000,561.599976,560.687134,5952159
2021-06-15,561.500000,564.000000,557.000000,557.900024,556.993164,3837245
2021-06-16,559.900024,562.549988,553.500000,555.250000,554.347473,5497269
2021-06-17,552.500000,561.500000,549.549988,558.700012,557.791870,4399348
2021-06-18,560.000000,561.950012,546.049988,549.799988,548.906311,10007116
2021-06-21,544.750000,544.750000,535.200012,542.150024,541.268799,5390821
